TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;SIT;VL_PATRIM_LIQ;RAZAO_SOCIAL;CODIGO;TICKER;COTA;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;PRICE_COTA_PATRIM
F.I.I.;30.629.603/0001-18;FUNDO DE INVESTIMENTO IMOBILIARIO - VBI LOGISTICO;EM FUNCIONAMENTO NORMAL;296388545,41;FDO INV IMOB - VBI LOG�STICO;LVBI;LVBI11;3030000;BRLVBICTF002;0.53;107.37;97,82
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;EM FUNCIONAMENTO NORMAL;158435526,45;FDO INV IMOB BR HOTEIS - FII;BRHT;BRHT11B;1841677;;;0;86,03
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;EM FUNCIONAMENTO NORMAL;158435526,45;FDO INV IMOB BR HOTEIS - FII;BRHT;BRHT11B;1841677;;;0;86,03
F.I.I.;21.126.204/0001-43;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO;EM FUNCIONAMENTO NORMAL;697328241,87;FDO INV IMOB BRASIL VAREJO - FII;BVAR;BVAR11;625540;BRBVARCTF006;7.83;0;1114,76
F.I.I.;10.991.914/0001-15;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE;EM FUNCIONAMENTO NORMAL;144309670,29;FDO INV IMOB CAIXA CEDAE;CXCE;CXCE11B;68518;BRCXCECTF004;18.73;2,267.80;2106,16
F.I.I.;12.887.506/0001-43;FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA TRX LOGISTICA RENDA;EM FUNCIONAMENTO NORMAL;37843238,08;FDO INV IMOB CAIXA TRX LOG�STICA RENDA;CXTL;CXTL11;53597;BRCXTLCTF003;1.05;440.01;706,07
F.I.I.;00.762.723/0001-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL;EM FUNCIONAMENTO NORMAL;123402691,13;FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;CTXT;CTXT11;2594279;BRCTXTCTF014;0.09;61.88;47,57
F.I.I.;23.582.914/0001-03;FUNDO DE INVESTIMENTO IMOBILIÁRIO CJ - FII;EM FUNCIONAMENTO NORMAL;85256673,13;FDO INV IMOB CJ - FII;CJFI;;45009054;;;0;1,89
F.I.I.;17.007.528/0001-95;FUNDO DE INVESTIMENTO IMOBILIARIO GENERAL SEVERIANO;EM FUNCIONAMENTO NORMAL;46136401,58;FDO INV IMOB GENERAL SEVERIANO - FII;GESE;GESE11B;38868;BRGESECTF001;17.4;0;1187,0
F.I.I.;01.201.140/0001-90;FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;EM FUNCIONAMENTO NORMAL;905155869,56;FDO INV IMOB GRAND PLAZA SHOPPING;ABCP;ABCP11;12203833;BRABCPCTF000;0.15;107.12;74,17
F.I.I.;23.740.527/0001-58;FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS;EM FUNCIONAMENTO NORMAL;611670372,94;FDO INV IMOB GREEN TOWERS;GTWR;;1200000;BRGTWRCTF003;1.21;0;509,73
F.I.I.;28.851.767/0001-43;FUNDO DE INVESTIMENTO IMOBILIARIO HOSPITAL UNIMED SUL CAPIXABA;EM FUNCIONAMENTO NORMAL;72255487,69;FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;HUSC;HUSC11;850821;BRHUSCCTF009;0.9;158.00;84,92
F.I.I.;14.217.108/0001-45;FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL;EM FUNCIONAMENTO NORMAL;266047251,76;FDO INV IMOB INDUSTRIAL DO BRASIL;FIIB;FIIB11;685000;BRFIIBCTF001;2.61;438.00;388,39
F.I.I.;18.369.510/0001-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII;EM FUNCIONAMENTO NORMAL;116017599,25;FDO INV IMOB INFRA REAL ESTATE - FII;FINF;FINF11;666420;BRFINFCTF002;0.18;0;174,09
