TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;SIT;RAZAO_SOCIAL;CODIGO;TICKER;COMPANY_ID;QUOTAS;ISIN;YEAR_DIV_AVERAGE;PRICE_MARKET;VOLUME
F.I.I.;13.022.993/0001-44;FII VBI FL 4440;2011-05-26;EM FUNCIONAMENTO NORMAL;FDO INV IMOB VBI FL 4440 - FII;FVBI;FVBI11.SA;13.022.993/0001-44;2150000;BRFVBICTF004;0.41;128.5;4592
F.I.I.;02.027.437/0001-44;FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;1997-08-05;EM FUNCIONAMENTO NORMAL;FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;BMII;BMII11.SA;02.027.437/0001-44;140000;BRBMIICTF007;3.57;0.0;0
F.I.I.;30.091.444/0001-40;FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII;2018-05-23;EM FUNCIONAMENTO NORMAL;FUNDO DE FDO INV IMOB KINEA FII;KFOF;KFOF11.SA;30.091.444/0001-40;1317933;BRKFOFCTF006;0.38;113.75;371
F.I.I.;29.787.928/0001-40;FUNDO DE INVESTIMENTO IMOBILIARIO - BTG PACTUAL CREDITO IMOBILIARIO;2018-03-01;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - BTG PACTUAL CREDITO IMOBILIARIO;BTCR;BTCR11.SA;29.787.928/0001-40;680000;BRBTCRCTF006;0.65;113.74;352
F.I.I.;17.324.357/0001-28;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;2013-04-09;EM FUNCIONAMENTO NORMAL;FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;BPFF;BPFF11.SA;17.324.357/0001-28;2668860;BRBPFFCTF002;0.65;92.0;8462
F.I.I.;08.924.783/0001-01;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL CORPORATE OFFICE FUND;2007-07-20;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;BRCR;BRCR11.SA;08.924.783/0001-01;19224537;BRBRCRCTF000;1.15;92.4;22638
F.I.I.;09.552.812/0001-14;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE CRI;2008-05-19;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI;FEXC;FEXC11.SA;09.552.812/0001-14;1461280;BRFEXCCTF007;0.79;108.0;2711
F.I.I.;11.026.627/0001-38;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BTG PACTUAL FUNDO DE FUNDOS;2009-12-30;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;BCFF;BCFF11.SA;11.026.627/0001-38;8449360;BRBCFFCTF000;0.68;84.19;22393
F.I.I.;15.799.397/0001-09;FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA COMMERCIAL PROPERTIES;2012-11-07;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;CEOC;CEOC11.SA;15.799.397/0001-09;1815696;BRCEOCCTF003;0.54;84.9;1290
F.I.I.;15.333.306/0001-37;FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO GALERIA;2012-08-27;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII EDIFÍCIO GALERIA;EDGA;EDGA11.SA;15.333.306/0001-37;3812055;BREDGACTF001;0.2;48.2;3894
F.I.I.;18.085.673/0001-57;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS;2013-10-10;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII NCH BRASIL RECEBÍVEIS IMOB;NCHB;NCHB11.SA;18.085.673/0001-57;41000;BRNCHBCTF000;3.23;0.0;0
F.I.I.;17.025.970/0001-44;FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE;2013-09-10;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII NOVO HORIZONTE;NVHO;NVHO11.SA;17.025.970/0001-44;41494533;BRNVHOCTF003;0.06;32.99;218
F.I.I.;14.788.492/0001-36;FUNDO DE INVESTIMENTO IMOBILIARIO - FII PATEO BANDEIRANTES;2013-01-21;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII PATEO BANDEIRANTES;PATB;;14.788.492/0001-36;1723197;BRPATBCTF004;1.32;0.0;0
F.I.I.;29.467.977/0001-03;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE;2018-01-30;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;RBRR;RBRR11.SA;29.467.977/0001-03;2728868;BRRBRRCTF008;0.57;105.9;4746
F.I.I.;17.311.079/0001-74;FUNDO DE INVESTIMENTO IMOBILIARIO - FII SIA CORPORATE;2014-03-12;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII SIA CORPORATE;SAIC;SAIC11B.SA;17.311.079/0001-74;1429830;BRSAICCTF009;0.74;66.0;1
F.I.I.;17.365.105/0001-47;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TB OFFICE;2013-06-07;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII TB OFFICE;TBOF;TBOF11.SA;17.365.105/0001-47;10050000;BRTBOFCTF006;0.2;82.0;7148
F.I.I.;32.274.163/0001-59;FUNDO DE INVESTIMENTO IMOBILIARIO - FII UBS (BR) OFFICE;2018-12-20;FASE PRÉ-OPERACIONAL;FDO INV IMOB - FII UBS (BR) OFFICE;RECT;;32.274.163/0001-59;4200000;;;0.0;0
F.I.I.;28.152.272/0001-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS;2017-07-21;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII UBS (BR) RECEB IMOB;UBSR;UBSR11.SA;28.152.272/0001-26;1555780;BRUBSRCTF000;0.84;104.99;10327
F.I.I.;28.152.272/0001-26;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS;2017-07-21;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII UBS (BR) RECEB IMOB;UBSR;UBSR11.SA;28.152.272/0001-26;1555780;BRUBSRCTF000;0.84;104.99;10327
F.I.I.;15.296.696/0001-12;FUNDO DE INVESTIMENTO IMOBILIARIO - FII VILA OLIMPIA CORPORATE;2012-08-10;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - FII VILA OLÍMPIA CORPORATE;VLOL;VLOL11.SA;15.296.696/0001-12;1784828;BRVLOLCTF009;0.38;101.0;4109
F.I.I.;26.846.202/0001-42;FUNDO DE INVESTIMENTO IMOBILIÁRIO - HABITAT I;2017-01-13;EM FUNCIONAMENTO NORMAL;FDO INV IMOB HABITAT I;HBTT;HBTT11.SA;26.846.202/0001-42;66567;BRHBTTCTF001;10.9;1125.0;0
F.I.I.;30.791.386/0001-68;FUNDO DE INVESTIMENTO IMOBILIÁRIO - OURINVEST FUNDO DE FUNDOS;2019-03-28;FASE PRÉ-OPERACIONAL;FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;OUFF;;30.791.386/0001-68;1000000;;;0.0;0
F.I.I.;30.629.603/0001-18;FUNDO DE INVESTIMENTO IMOBILIARIO - VBI LOGISTICO;2018-07-05;EM FUNCIONAMENTO NORMAL;FDO INV IMOB - VBI LOGÍSTICO;LVBI;LVBI11.SA;30.629.603/0001-18;3030000;BRLVBICTF002;0.53;107.34;570
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;2012-12-18;EM FUNCIONAMENTO NORMAL;FDO INV IMOB BR HOTEIS - FII;BRHT;BRHT11B.SA;15.461.076/0001-91;1841677;;;0.0;0
F.I.I.;15.461.076/0001-91;FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;2012-12-18;EM FUNCIONAMENTO NORMAL;FDO INV IMOB BR HOTEIS - FII;BRHT;BRHT11B.SA;15.461.076/0001-91;1841677;;;0.0;0
F.I.I.;21.126.204/0001-43;FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO;2014-10-27;EM FUNCIONAMENTO NORMAL;FDO INV IMOB BRASIL VAREJO - FII;BVAR;BVAR11.SA;21.126.204/0001-43;625540;BRBVARCTF006;8.36;0.0;0
